EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2007-1-1,56,51,45,55,50,36,100,85,70,30.22,29.89,29.71,10,3,0,14,4,24,1.52,8,Fog-Rain,177<br />
2007-1-2,50,46,41,39,25,20,71,54,36,30.37,30.12,29.78,10,10,10,18,9,33,0.00,1,,289<br />
2007-1-3,52,45,38,32,27,24,59,49,38,30.39,30.31,30.22,10,10,10,15,6,28,0.00,0,,240<br />
2007-1-4,56,50,43,43,36,32,70,59,47,30.20,30.15,30.04,10,10,10,16,8,25,0.00,0,,241<br />
2007-1-5,62,58,53,59,54,47,96,79,61,30.03,29.94,29.81,10,8,4,17,6,28,0.03,6,Rain,235<br />
2007-1-6,72,63,54,61,53,37,90,67,44,30.02,29.74,29.62,10,10,4,22,8,33,0.01,5,Rain,247<br />
2007-1-7,54,49,44,45,32,23,93,63,32,30.35,30.20,29.99,10,9,4,16,6,29,0.17,2,Rain,89<br />
2007-1-8,56,47,38,53,42,16,93,65,36,29.94,29.72,29.53,10,6,1,20,8,32,1.25,6,Rain,259<br />
2007-1-9,44,39,34,26,20,16,64,50,36,29.87,29.82,29.75,10,10,10,18,7,28,0.00,2,,265<br />
2007-1-10,36,33,29,17,11,5,64,46,27,30.44,30.14,29.86,10,10,10,18,8,31,T,1,,284<br />
2007-1-11,38,32,26,22,14,11,55,45,35,30.66,30.56,30.45,10,10,10,16,6,26,0.00,0,,270<br />
2007-1-12,48,43,37,34,29,22,64,55,46,30.46,30.33,30.25,10,10,10,16,8,28,0.01,3,,236<br />
2007-1-13,56,51,45,49,44,37,83,72,60,30.29,30.20,30.13,10,10,6,13,6,23,0.06,7,Rain,310<br />
2007-1-14,46,44,41,43,42,38,100,88,76,30.27,30.21,30.14,10,4,1,12,4,30,0.09,8,Rain,43<br />
2007-1-15,57,49,40,50,41,38,96,90,83,30.19,29.96,29.70,10,4,1,13,4,20,0.06,7,Rain,55<br />
2007-1-16,55,39,22,48,24,3,89,64,38,30.36,29.99,29.73,10,10,6,21,10,35,0.01,4,,300<br />
2007-1-17,29,24,19,7,3,0,45,39,33,30.74,30.63,30.38,10,10,10,21,7,33,0.00,0,,308<br />
2007-1-18,37,31,25,34,27,7,96,69,42,30.70,30.37,30.07,10,6,2,12,3,18,0.09,6,Snow,307<br />
2007-1-19,41,36,31,32,26,16,92,67,41,30.02,29.84,29.73,10,6,1,22,8,37,0.09,6,Snow,276<br />
2007-1-20,32,27,21,25,12,0,75,53,31,30.28,29.97,29.83,10,8,0,22,11,41,0.02,4,Fog-Snow,286<br />
2007-1-21,29,24,19,8,3,-1,51,40,29,30.40,30.30,30.15,10,10,10,14,4,21,0.00,2,,292<br />
2007-1-22,33,30,27,25,21,9,78,60,42,30.12,29.93,29.79,10,10,9,7,2,12,0.00,8,,23<br />
2007-1-23,36,32,28,23,17,14,78,61,43,29.93,29.87,29.78,10,10,10,14,6,22,0.00,4,,283<br />
2007-1-24,40,36,32,21,18,14,61,51,40,30.00,29.94,29.91,10,10,10,13,6,20,0.00,5,,285<br />
2007-1-25,34,25,15,22,11,-5,69,49,28,29.91,29.84,29.75,10,10,8,15,5,25,0.01,5,Snow,305<br />
2007-1-26,22,16,9,0,-4,-8,55,43,31,30.02,29.97,29.89,10,10,10,17,13,33,0.00,1,,299<br />
2007-1-27,41,31,20,30,15,1,55,48,41,29.99,29.79,29.68,10,10,8,12,4,20,0.01,8,Rain,253<br />
2007-1-28,41,36,30,34,26,19,85,65,44,29.72,29.64,29.57,10,7,1,14,4,21,0.05,7,Rain-Snow,31<br />
2007-1-29,30,26,21,25,11,0,85,59,32,30.01,29.83,29.60,10,9,2,18,9,32,0.01,3,Snow,304<br />
2007-1-30,35,28,21,28,16,7,72,56,40,30.04,29.93,29.83,10,8,1,16,5,28,0.10,5,Snow,260<br />
2007-1-31,33,29,25,27,15,6,92,64,36,30.12,29.97,29.83,10,9,2,17,8,28,0.06,3,Snow,287<br />
