EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2007-6-1,88,76,64,66,61,55,81,63,45,30.10,30.02,29.93,10,9,7,10,3,17,T,0,,274<br />
2007-6-2,89,80,71,66,62,59,68,57,46,29.98,29.91,29.83,10,9,6,12,4,23,0.00,0,,217<br />
2007-6-3,79,71,63,65,63,61,100,81,62,29.85,29.76,29.64,10,7,1,14,5,30,1.62,5,Rain,107<br />
2007-6-4,70,65,60,65,61,59,100,91,81,29.65,29.49,29.40,10,4,1,16,5,24,2.29,7,Rain,50<br />
2007-6-5,81,74,66,65,60,50,84,65,45,29.69,29.52,29.47,10,9,6,15,6,30,0.00,2,,248<br />
2007-6-6,71,64,56,51,43,39,62,48,33,30.01,29.84,29.70,10,10,10,18,5,26,0.00,2,,288<br />
2007-6-7,75,65,54,58,49,40,73,57,41,30.12,30.06,30.02,10,10,10,10,2,20,0.00,0,,236<br />
2007-6-8,85,75,64,69,64,57,90,74,58,30.02,29.91,29.83,10,6,2,13,2,18,0.00,0,,183<br />
2007-6-9,82,74,65,67,64,59,93,74,55,30.01,29.89,29.80,10,6,1,15,6,22,0.01,5,Rain,49<br />
2007-6-10,72,67,62,58,54,48,84,66,47,30.07,30.02,29.96,10,10,6,9,2,13,T,7,,72<br />
2007-6-11,84,74,63,65,59,53,79,58,37,30.05,30.01,29.96,10,9,2,17,4,28,0.03,3,Rain,37<br />
2007-6-12,83,74,65,68,64,60,97,74,51,30.07,30.02,29.96,10,5,0,14,2,24,1.18,4,Fog-Rain,343<br />
2007-6-13,66,62,57,64,57,47,93,80,67,30.18,30.08,30.01,10,8,1,15,7,23,0.00,6,,61<br />
2007-6-14,64,60,56,51,48,44,72,64,56,30.17,30.12,30.09,10,10,10,15,5,21,0.00,7,,56<br />
2007-6-15,74,67,59,55,53,48,75,64,53,30.13,30.07,30.04,10,10,10,10,4,16,0.00,4,,92<br />
2007-6-16,81,71,60,63,57,52,84,66,48,30.05,29.99,29.94,10,9,4,10,3,17,0.04,2,Rain,252<br />
2007-6-17,86,76,66,62,59,57,78,59,40,29.95,29.90,29.84,10,10,10,12,4,20,0.00,1,,271<br />
2007-6-18,84,76,68,63,60,56,68,54,40,30.06,30.00,29.90,10,10,2,12,4,17,0.00,0,,34<br />
2007-6-19,80,73,66,68,62,55,78,66,54,30.08,30.01,29.91,10,8,1,13,4,22,0.33,2,Rain,237<br />
2007-6-20,78,73,67,68,62,47,90,63,36,29.97,29.90,29.84,10,5,1,13,5,24,0.14,4,Rain,279<br />
2007-6-21,80,70,60,63,55,48,93,66,39,29.98,29.89,29.77,10,9,2,15,5,25,0.18,2,Rain,287<br />
2007-6-22,74,68,61,59,48,40,90,62,33,29.88,29.82,29.78,10,10,10,16,7,35,0.00,1,,313<br />
2007-6-23,74,65,56,45,40,36,62,45,27,29.98,29.91,29.87,10,10,10,14,5,23,0.00,0,,292<br />
2007-6-24,81,69,57,55,46,35,53,44,34,30.13,30.07,29.99,10,10,2,10,3,16,0.00,0,,264<br />
2007-6-25,80,74,67,66,62,55,79,66,53,30.24,30.19,30.14,10,9,5,12,4,21,0.00,2,,235<br />
2007-6-26,91,82,72,70,69,66,93,70,47,30.25,30.20,30.14,9,6,2,12,4,20,0.00,0,,232<br />
2007-6-27,90,80,70,76,70,64,100,78,55,30.14,30.05,29.95,10,4,1,17,4,32,0.69,4,Rain,265<br />
2007-6-28,87,79,70,71,69,64,100,79,57,30.05,29.94,29.83,10,4,1,14,5,24,0.03,2,Rain,251<br />
2007-6-29,77,72,67,65,60,56,79,65,50,30.03,29.98,29.91,10,10,10,10,3,15,0.00,2,,17<br />
2007-6-30,81,72,63,61,50,41,81,53,25,30.02,29.97,29.92,10,10,10,10,3,20,0.01,1,,275<br />
